GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS
By Year,2016-17,1610612747,LAL,2017-04-12T00:00:00,79,26,53,0.329,28.9,3.5,8.7,0.402,0.7,2.4,0.294,1.7,2.7,0.621,0.8,3.2,4.0,2.1,1.5,0.6,0.5,0.6,2.0,2.4,9.4,-4.8,19.1,0,0,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,264,2016-17
By Year,2016-17,1610612738,BOS,2017-04-12T00:00:00,78,50,28,0.641,17.2,2.5,5.4,0.454,0.6,1.7,0.341,1.1,1.6,0.685,0.6,2.2,2.8,0.8,0.9,0.4,0.2,0.4,1.8,1.3,6.6,-1.6,12.4,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,264,2016-17
By Year,2016-17,1610612756,PHX,2017-04-11T00:00:00,43,13,30,0.302,13.3,1.3,3.7,0.354,0.7,2.3,0.277,0.1,0.3,0.364,0.5,1.9,2.4,0.5,0.7,0.2,0.5,0.0,1.7,0.3,3.4,-0.6,8.6,1,0,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,1,264,2016-17
By Year,2016-17,1610612750,MIN,2017-04-12T00:00:00,78,30,48,0.385,17.1,1.5,4.0,0.377,0.3,0.9,0.288,0.5,0.8,0.61,0.3,1.8,2.1,2.4,1.1,1.0,0.5,0.2,2.3,0.8,3.8,-1.7,13.2,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,264,2016-17
By Year,2016-17,1610612740,NOP,2017-02-15T00:00:00,57,23,34,0.404,20.4,3.2,8.3,0.393,1.6,4.2,0.369,0.5,0.6,0.879,0.3,2.6,2.9,1.4,0.8,0.3,0.1,0.6,1.4,0.5,8.6,-2.6,14.6,0,0,1,1,1,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,3,1,1,264,2016-17
By Year,2016-17,1610612743,DEN,2017-04-12T00:00:00,82,40,42,0.488,21.5,3.6,8.9,0.404,1.4,4.2,0.334,1.3,1.5,0.883,0.5,2.1,2.6,2.1,1.4,0.6,0.3,0.4,1.5,1.3,9.9,0.9,17.5,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,264,2016-17
By Year,2016-17,1610612756,PHX,2017-04-11T00:00:00,82,24,58,0.293,21.3,3.5,7.7,0.449,0.9,2.7,0.321,1.4,2.2,0.624,1.2,3.1,4.2,0.7,1.3,0.8,0.9,0.7,3.2,2.2,9.2,-4.6,19.1,3,0,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,264,2016-17
By Year,2016-17,1610612761,TOR,2017-04-12T00:00:00,54,38,16,0.704,11.6,1.2,2.1,0.583,0.0,0.0,0.0,0.6,1.1,0.544,1.4,1.6,3.1,0.2,0.5,0.3,0.4,0.2,2.1,0.9,3.1,-0.1,8.6,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,264,2016-17
By Year,2016-17,1610612749,MIL,2017-04-12T00:00:00,57,31,26,0.544,9.9,1.5,3.2,0.459,0.5,1.3,0.378,0.6,0.9,0.653,0.7,1.3,2.0,0.4,0.3,0.2,0.5,0.2,1.5,0.8,4.0,-0.5,8.6,0,0,1,1,1,2,2,1,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,1,264,2016-17
By Year,2016-17,1610612760,OKC,2017-04-12T00:00:00,81,46,35,0.568,20.1,2.4,5.9,0.399,0.6,2.0,0.321,0.5,0.8,0.657,0.6,3.0,3.6,1.0,1.0,0.5,0.4,0.4,2.5,0.9,5.9,0.2,13.3,2,0,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,264,2016-17
By Year,2016-17,1610612737,ATL,2017-04-12T00:00:00,59,28,31,0.475,16.6,1.9,4.8,0.4,0.6,1.7,0.324,1.3,1.6,0.787,0.4,2.2,2.7,0.9,1.0,0.7,0.5,0.4,1.6,1.2,5.7,-0.5,12.8,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,264,2016-17
By Year,2016-17,1610612758,SAC,2017-04-12T00:00:00,22,7,15,0.318,16.1,2.5,4.6,0.549,0.0,0.1,0.0,0.5,0.6,0.857,1.1,2.8,3.9,0.9,1.1,0.1,0.8,0.1,2.0,0.9,5.6,-1.5,13.3,2,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,264,2016-17
By Year,2016-17,1610612741,CHI,2017-04-12T00:00:00,57,28,29,0.491,17.1,1.8,5.1,0.354,1.3,3.6,0.351,0.2,0.3,0.778,0.2,2.5,2.6,1.1,0.9,0.5,0.1,0.1,1.5,0.3,5.1,-0.3,11.0,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,264,2016-17
By Year,2016-17,1610612743,DEN,2017-04-12T00:00:00,62,30,32,0.484,13.6,1.6,3.6,0.451,0.7,1.8,0.407,0.9,1.2,0.75,0.7,2.3,3.0,0.5,0.5,0.5,0.2,0.2,1.0,1.0,4.9,-0.5,10.8,1,0,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,264,2016-17
By Year,2017-18,1610612738,BOS,2017-12-27T00:00:00,15,11,4,0.733,5.1,0.7,1.6,0.417,0.5,1.1,0.438,0.1,0.1,1.0,0.6,0.9,1.5,0.3,0.3,0.0,0.1,0.1,0.8,0.1,1.9,-1.5,4.2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2017-18
By Year,2016-17,1610612763,MEM,2017-04-12T00:00:00,33,18,15,0.545,12.3,1.1,3.5,0.313,0.1,0.7,0.136,0.9,1.1,0.838,0.3,1.1,1.4,1.8,1.2,0.5,0.2,0.3,1.2,1.0,3.2,-4.2,8.7,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2016-17
