permno,date,nameendt,exchcd,ncusip,ticker,comnam,tsymbol,trdstat,secstat,permco,hsiccd,cusip,dlstcd,hsicmg,hsicig,acperm,accomp
81289,1/31/2002,7/16/2002,2,45815R10,ITC,INTELLIGENT CONTROLS INC,ITCEC,A,R,30849,3823,45815R10,,,,,
11475,9/30/1988,,3,45815710,INEL,INTELLIGENT ELECTRONICS INC,INEL,A,R,9305,5990,45815710,,59,599,,
86895,6/30/1999,,3,45816V10,ILIF,INTELLIGENT LIFE CORP,ILIF,A,R,16528,7389,06646V10,,,,,
83277,12/31/1997,,3,45815T10,IMII,INTELLIGENT MEDICAL IMAGING INC,IMII,A,R,14460,3840,45815T10,,,,,
87297,8/31/2000,,2,G4802910,IXP,INTELLIGENT POLYMERS LTD,,A,R,36362,2834,G4802910,,,,,
77892,8/31/1995,,3,45796530,ISLS,INTELLIGENT SURGICAL LASERS INC,ISLS,A,R,11697,3840,29607430,,,,,
44600,9/30/1986,,3,45815810,INTS,INTELLIGENT SYSTEMS CORP,INTS,A,R,5122,2795,45815810,,,,,
72119,3/31/1997,,2,45816D10,INS,INTELLIGENT SYSTEMS CORP NEW,,A,R,20982,3452,45816D10,,,,,
72119,4/29/1988,,2,45793310,INP,INTELLIGENT SYSTEMS MASTER L P,,A,R,20982,3452,45816D10,,,,,
83942,6/30/1998,,3,45816A10,ITIG,INTELLIGROUP INC,ITIG,A,R,14982,7372,45816A10,,,,,
93082,11/28/2014,,3,45817310,IPCI,INTELLIPHARMACEUTICS INTL INC,IPCI,A,R,53250,9999,45817310,,,,,
83280,7/31/1998,,3,45816H10,IQST,INTELLIQUEST INFO GROUP INC,IQST,A,R,14461,8740,45816H10,,,,,
84329,8/31/2004,,3,45817610,SYNC,INTELLISYNC CORP,SYNC,A,R,15205,7372,45817610,,,,,
92463,1/30/2009,,3,45816W50,ITLN,INTELLON CORP,ITLN,A,R,52881,3674,45816W50,,,,,
67985,11/30/1992,,1,45815910,IT,INTELOGIC TRACE INC,,A,R,20984,3573,45815910,,,,,
13866,1/31/2014,,1,L5140P10,I,INTELSAT S A,I,A,R,54370,4899,L5140P10,,,,,
84087,6/30/1998,,3,45815Y10,IHCC,INTENSIVA HEALTHCARE CORP,IHCC,A,R,15038,8060,45815Y10,,,,,
92335,8/29/2008,,2,45890H10,IAN,INTER ATLANTIC FINANCIAL INC,IAN,A,R,52802,9999,45890H10,,,,,
60484,6/30/1980,,2,45819610,ICG,INTER CITY GAS CORP,,A,R,20985,1311,45819610,,,,,
60484,9/28/1979,,2,45820010,ICG,INTER CITY GAS LTD,,A,R,20985,1311,45819610,,,,,
76191,7/31/1992,,2,45821E10,IPR,INTER CITY PRODUCTS CORP,,A,R,26081,3585,45897810,,,,,
44602,2/28/1974,,3,45822510,ICSR,INTER CONTINENTAL SERVICES CORP,,A,R,2270,7399,45822510,,,,,
11627,6/29/1990,,3,45823810,IFED,INTER FEDERAL SVGS BK CHATT TN,IFED,A,R,9448,6020,45823810,,,,,
78492,4/29/1988,,3,45824210,IGRLF,INTER GLOBE RESOURCES LTD,IGRLF,A,R,6118,1040,45824210,,,,,
44629,7/31/1981,,3,45825410,ISLD,INTER ISLAND RESORTS LTD,,A,R,2401,7011,45825410,,,,,
63220,8/31/1983,,1,45835110,IFG,INTER REGIONAL FINL GROUP INC,,A,R,2286,6211,23385610,,,,,
44637,10/29/1993,,3,45837210,INTL,INTER TEL INC,INTL,A,R,2369,3661,45837210,,,,,
78724,6/30/1992,,3,45837K10,IITCF,INTERA INFORMAT TECH CORP,IITCF,A,R,29310,8710,44992010,,,,,
86919,8/31/2000,,3,45839Y10,IACT,INTERACT COMM CORP,IACT,A,R,16554,7372,45839Y10,,,,,
83876,9/30/1996,,3,45838F10,IKEC,INTERACTION MEDIA CORP,IKEC,A,R,14933,6790,45838F10,,,,,
78487,10/31/1983,,3,45891010,INRLF,INTERACTION RESOURCES LTD,INRLF,A,R,6044,1310,45891010,,,,,
44952,9/30/1982,,3,45891110,ISIIA,INTERACTION SYSTEMS INC,,A,R,2398,3672,45891110,,,,,
78871,12/31/2004,2/18/2005,2,45840410,IBD,INTERACTIVE BRAND DVLPMNT INC,IBD,A,R,11945,3711,45840410,,,,,
92043,5/31/2013,,3,45841N10,IBKR,INTERACTIVE BROKERS GROUP INC,IBKR,A,R,52295,6211,45841N10,,,,,
34981,3/31/2003,,1,45840J10,IDC,INTERACTIVE DATA CORP,IDC,A,R,5599,6282,45840J10,,,,,
80365,8/31/1998,,3,G4802P10,IELSF,INTERACTIVE ENTERTAINMENT LTD,IELSF,A,R,12890,7990,G4802P10,,,,,
81486,3/31/1999,,3,45838C30,FLYT,INTERACTIVE FLIGHT TECHS INC,FLYT,A,R,13604,4833,37894910,,,,,
81623,7/31/1997,,3,45837J10,INTE,INTERACTIVE GROUP INC,INTE,A,R,13738,7370,45837J10,,,,,
